"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LIP99IQ3","journalArticle","2020","Shen, T.-Y.; Hu, W.-N.; Cai, W.-T.; Jin, H.-Z.; Yu, D.-H.; Sun, J.-H.; Yu, J.","Effectiveness and Safety of Trabeculectomy along with Amniotic Membrane Transplantation on Glaucoma: A","Systematic Review. J Ophthalmol","","","10.1155/2020/3949735","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7568795/","","2020","2022-01-29 21:21:24","2022-01-29 21:22:19","","3949735–3949735","","","","","","","","","","","","","en","","","","","","","Citation Key: shen2020","","/home/filipejunqueira/Zotero/storage/V6PR7S7U/Shen et al. - 2020 - Effectiveness and Safety of Trabeculectomy along w.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3726648","journalArticle","2015","Wang, Xue; Khan, Rabeea; Coleman, Anne","Device-modified trabeculectomy for glaucoma","Cochrane Database of Systematic Reviews","","","10.1002/14651858.cd010472.pub2","","","2015","2022-01-29 21:21:24","2022-01-29 21:22:18","","010472– 010472","","12","12","","","","","","","","","","en","","","","","","","Publisher: Wiley Citation Key: wang2015","","/home/filipejunqueira/Zotero/storage/87DEGP3V/Wang et al. - 2015 - Device-modified trabeculectomy for glaucoma.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LWRHWRNV","journalArticle","2016","Yazdani, Shahin; Mahboobipour, Hassan; Pakravan, Mohammad; Doozandeh, Azadeh; Ghahari, Elham","Adjunctive Mitomycin C or Amniotic Membrane Transplantation for Ahmed Glaucoma Valve Implantation: A Randomized Clinical Trial","Journal of Glaucoma","","","10.1097/ijg.0000000000000256","","","2016-05","2022-01-29 21:21:24","2022-01-29 21:22:18","","415–421","","5","25","","","","","","","","","","io","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: yazdani2016","","/home/filipejunqueira/Zotero/storage/95N3ZRFG/Yazdani et al. - 2016 - Adjunctive Mitomycin C or Amniotic Membrane Transp.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENU9AMUB","journalArticle","2008","Nagai-Kusuhara, Azusa; Nakamura, Makoto; Fujioka, Miyuki; Negi, Akira","Long-term results of amniotic membrane transplantation-assisted bleb revision for leaking blebs","Graefe's Archive for Clinical and Experimental Ophthalmology","","","10.1007/s00417-007-0727-x","","","2008","2022-01-29 21:21:24","2022-01-29 21:22:19","","567–571","","4","246","","","","","","","","","","en","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: nagai-kusuhara2008","","/home/filipejunqueira/Zotero/storage/QMZA7M8F/Nagai-Kusuhara et al. - 2008 - Long-term results of amniotic membrane transplanta.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCN69IJZ","journalArticle","2007","Bochmann, Frank; Azuara-Blanco, Augusto","Interventions for late trabeculectomy bleb leak","Cochrane Database Syst Rev","","","10.1002/14651858.cd006769","","","2007-10","2022-01-29 21:21:24","2022-01-29 21:22:19","","","","","2012","","","","","","","","","","en","","","","","","","Publisher: John Wiley & Sons, Ltd Citation Key: bochmann2007","","/home/filipejunqueira/Zotero/storage/88Z33JRD/Bochmann and Azuara-Blanco - 2007 - Interventions for late trabeculectomy bleb leak.pdf","","","","Bochmann, Frank","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HLSSTNLR","journalArticle","2000","Budenz, Donald L.; Barton, Keith; Tseng, Scheffer C. G.","Amniotic membrane transplantation for repair of leaking glaucoma filtering blebs","American Journal of Ophthalmology","","","10.1016/s0002-9394(00)00600-0","","","2000","2022-01-29 21:21:24","2022-01-29 21:22:18","","580–588","","5","130","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: budenz2000","","/home/filipejunqueira/Zotero/storage/MDA55PZV/Budenz et al. - 2000 - Amniotic membrane transplantation for repair of le.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G7NCZYE3","journalArticle","2007","Rauscher, Frederick M.; Barton, Keith; Budenz, Donald L.; Feuer, William J.; Tseng, Scheffer C. G.","Long-term outcomes of amniotic membrane transplantation for repair of leaking glaucoma filtering blebs","American Journal of Ophthalmology","","","10.1016/j.ajo.2007.01.016","","","2007","2022-01-29 21:21:24","2022-01-29 21:22:19","","1052–1054","","6","143","","","","","","","","","","en","","","","","","","Publisher: Elsevier BV Citation Key: rauscher2007","","/home/filipejunqueira/Zotero/storage/W7GTX5DI/Rauscher et al. - 2007 - Long-term outcomes of amniotic membrane transplant.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NWS6HZ5R","journalArticle","2016","Sethi, P.; Patel, R.N.; Goldhardt, R.; Ayyala, R.S.","Conjunctival Advancement With Subconjunctival Amniotic Membrane Draping Technique for Leaking Cystic Blebs","J Glaucoma","","","10.1097/ijg.0000000000000098","","","2016","2022-01-29 21:21:24","2022-01-29 21:22:18","","188–92","","2","25","","","","","","","","","","fr","","","","","","","Citation Key: sethi2016","","/home/filipejunqueira/Zotero/storage/SUSSBZ5U/Sethi et al. - 2016 - Conjunctival Advancement With Subconjunctival Amni.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8TRJZJF","journalArticle","2006","Ainsworth, G.","A novel use of amniotic membrane in the management of tube exposure following glaucoma tube shunt surgery","British Journal of Ophthalmology","","","10.1136/bjo.2005.084905","","","2006","2022-01-29 21:21:24","2022-01-29 21:22:18","","417–419","","4","90","","","","","","","","","","en","","","","","","","Publisher: BMJ Citation Key: ainsworth2006","","/home/filipejunqueira/Zotero/storage/VFZHCP6R/Ainsworth - 2006 - A novel use of amniotic membrane in the management.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YYEVZ86W","journalArticle","2010","Amini, H.; Kiarudi, M.Y.; Moghimi, S.; Fakhraie, G.; Amini, N.","Ahmed glaucoma valve with adjunctive amniotic membrane for refractory glaucoma","Journal of ophthalmic & vision research","","","","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3379925/","","2010","2022-01-29 21:21:24","2022-01-29 21:47:33","","158–161","","3","5","","","","","","","","","","en","","","","","","","Citation Key: amini2010","","/home/filipejunqueira/Zotero/storage/Z4LTC3HU/Amini et al. - 2010 - Ahmed glaucoma valve with adjunctive amniotic memb.pdf","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5KA3LZZC","journalArticle","2011","Anand, Aashish; Sheha, Hosam; Teng, Christopher C.; Liebmann, Jeffrey M.; Ritch, Robert; Tello, Celso","Use of Amniotic Membrane Graft in Glaucoma Shunt Surgery","Ophthalmic Surgery, Lasers and Imaging Retina","","","10.3928/15428877-20110426-01","","","2011","2022-01-29 21:21:24","2022-01-29 21:22:20","","184–189","","3","42","","","","","","","","","","en","","","","","","","Publisher: SLACK, Inc. Citation Key: anand2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFSZTMX7","journalArticle","2021","Garcin, Thibaud; Gain, Philippe; Thuret, Gilles","Epiretinal large disc of blue-stained lyophilized amniotic membrane to treat complex macular holes: a 1-year follow-up","Acta Ophthalmol","","","10.1111/aos.14909","","","2021","2022-01-29 21:21:24","2022-01-29 21:22:19","","","","","","","","","","","","","","","en","","","","","","","Publisher: Wiley Citation Key: garcin2021","","/home/filipejunqueira/Zotero/storage/VPXGBEBQ/Garcin et al. - 2021 - Epiretinal large disc of blue-stained lyophilized .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46HTA5ML","journalArticle","2019","Caporossi, Tomaso; Tartaro, Ruggero; Angelis, Lorenzo De; Pacini, Bianca; Rizzo, Stanislao","A human amniotic membrane plug to repair retinal detachment associated with large macular tear","Acta Ophthalmologica","","","10.1111/aos.14109","","","2019","2022-01-29 21:21:24","2022-01-29 21:22:17","","821–823","","8","97","","","","","","","","","","en","","","","","","","Publisher: Wiley Citation Key: caporossi2019","","/home/filipejunqueira/Zotero/storage/SK6GAMCR/Caporossi et al. - 2019 - A human amniotic membrane plug to repair retinal d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSKMYM54","journalArticle","2019","Rizzo, S.; Caporossi, T.; Tartaro, R.; Finocchio, L.; Franco, F.; Barca, F.; Giansanti, F.","A Human Amniotic Membrane Plug to Promote Retinal Breaks Repair and Recurrent Macular Hole Closure","Retina","","","10.1097/iae.0000000000002320","","","2019-10","2022-01-29 21:21:24","2022-01-29 21:22:17","","95– 103","","1","39 Suppl 1","","","","","","","","","","es","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: rizzo2019","","/home/filipejunqueira/Zotero/storage/LHM6GYXH/Rizzo et al. - 2019 - A Human Amniotic Membrane Plug to Promote Retinal .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHHAWTJX","journalArticle","2003","Capeáns, Carmen; Piñeiro, Antonio; Pardo, María; Sueiro-López, Catalina; Blanco, María José; Domínguez, Fernando; Sánchez-Salorio, Manuel","Amniotic membrane as support for human retinal pigment epithelium (RPE) cell growth","Acta Ophthalmologica Scandinavica","","","10.1034/j.1600-0420.2003.00076.x","","","2003","2022-01-29 21:21:24","2022-01-29 21:22:18","","271–277","","3","81","","","","","","","","","","en","","","","","","","Publisher: Wiley Citation Key: capeans2003","","/home/filipejunqueira/Zotero/storage/YNZCFW2Z/Capeáns et al. - 2003 - Amniotic membrane as support for human retinal pig.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBP5653W","journalArticle","2013","Diniz, Bruno; Thomas, Padmaja; Thomas, Biju; Ribeiro, Ramiro; Hu, Yuntao; Brant, Rodrigo; Ahuja, Ashish; Zhu, Danhong; Liu, Laura; Koss, Michael; Maia, Mauricio; Chader, Gerald; Hinton, David R.; Humayun, Mark S.","Subretinal implantation of retinal pigment epithelial cells derived from human embryonic stem cells: improved survival when implanted as a monolayer","Investigative Opthalmology & Visual Science","","","10.1167/iovs.12-11239","","","2013","2022-01-29 21:21:24","2022-01-29 21:22:20","","5087","","7","54","","","","","","","","","","en","","","","","","","Publisher: Association for Research in Vision and Ophthalmology (ARVO) Citation Key: diniz2013","","/home/filipejunqueira/Zotero/storage/IJM5UN3I/Diniz et al. - 2013 - Subretinal implantation of retinal pigment epithel.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RI3LWU2C","journalArticle","2005","Ohno-Matsui, K.; Ichinose, S.; Nakahama, K.; Yoshida, T.; Kojima, A.; Mochizuki, M.; Morita, I.","The effects of amniotic membrane on retinal pigment epithelial cell differentiation","Mol Vis","","","","http://www.molvis.org/molvis/v11/a1/","","2005","2022-01-29 21:21:24","2022-01-29 21:47:35","","1–10","","","11","","","","","","","","","","en","","","","","","","Citation Key: ohno-matsui2005","","","","","⛔ No DOI found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKZRBMDS","journalArticle","2020","Caporossi, Tomaso; Pacini, Bianca; Bacherini, Daniela; Barca, Francesco; Faraldi, Francesco; Rizzo, Stanislao","Human amniotic membrane plug to promote failed macular hole closure","Scientific Reports","","","10.1038/s41598-020-75292-2","","","2020","2022-01-29 21:21:24","2022-01-29 21:22:19","","18264","","1","10","","","","","","","","","","fr","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: caporossi2020","","/home/filipejunqueira/Zotero/storage/ZF64ET4U/Caporossi et al. - 2020 - Human amniotic membrane plug to promote failed mac.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LNWQDGI","journalArticle","2020","Ventre, Luca; Marolo, Paola; Reibaldi, Michele","A Human Amniotic Membrane Plug to Treat Persistent Macular Hole","Case Reports in Ophthalmology","","","10.1159/000509339","","","2020","2022-01-29 21:21:24","2022-01-29 21:22:17","","442–447","","2","11","","","","","","","","","","en","","","","","","","Publisher: S. Karger AG Citation Key: ventre2020","","/home/filipejunqueira/Zotero/storage/FHV2DWM5/Ventre et al. - 2020 - A Human Amniotic Membrane Plug to Treat Persistent.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S72WF2T2","journalArticle","2020","Caporossi, Tomaso; Pacini, Bianca; Angelis, Lorenzo De; Barca, Francesco; Peiretti, Enrico; Rizzo, Stanislao","HUMAN AMNIOTIC MEMBRANE TO CLOSE RECURRENT, HIGH MYOPIC MACULAR HOLES IN PATHOLOGIC MYOPIA WITH AXIAL LENGTH OF $\geq$30 mm","Retina","","","10.1097/iae.0000000000002699","","","2020","2022-01-29 21:21:24","2022-01-29 21:22:19","","1946–1954","","10","40","","","","","","","","","","pt","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: caporossi2020a","","/home/filipejunqueira/Zotero/storage/7ENY7ZXS/Caporossi et al. - 2020 - HUMAN AMNIOTIC MEMBRANE TO CLOSE RECURRENT, HIGH M.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X94HEG2P","journalArticle","2021","Caporossi, T.; Tartaro, R.; Finocchio, L.; Pacini, B.; De Angelis, L.; Bacherini, D.; Rizzo, S.; CLOSE, H.U.M.A.N.A.M.N.I.O.T.I.C.M.E.M.B.R.A.N.E.T.O.T.R.E.A.T.M.A.C.U.L.A.R.H.O.L.E.S.T.H.A.T.F.A.I.L.E.D.T.O.","SULFUR HEXAFLUORIDE ENDOTAMPONADE VERSUS AIR ENDOTAMPONADE: A Prospective Comparative Study","Retina","","","10.1097/IAE.0000000000002913","","","2021","2022-01-29 21:21:24","2022-01-29 21:22:20","","735–743","","4","41","","","","","","","","","","pt","","","","","","","Citation Key: caporossi2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X495GQ5E","journalArticle","2020","Abouhussein, M.A.; Elbaha, S.M.; Aboushousha, M.","Human Amniotic Membrane Plug for Macular Holes Coexisting with Rhegmatogenous Retinal Detachment","Clin Ophthalmol","","","10.2147/OPTH.S272060","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457634/","","2020","2022-01-29 21:21:25","2022-01-29 21:22:19","","2411–2416","","","14","","","","","","","","","","en","","","","","","","Citation Key: abouhussein2020","","/home/filipejunqueira/Zotero/storage/DEV3SRXJ/Abouhussein et al. - 2020 - Human Amniotic Membrane Plug for Macular Holes Coe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B45BSBF3","journalArticle","2020","Caporossi, Tomaso; Angelis, Lorenzo De; Pacini, Bianca; Rizzo, Stanislao","Amniotic membrane for retinal detachment due to paravascular retinal breaks over patchy chorioretinal atrophy in pathologic myopia","European Journal of Ophthalmology","","","10.1177/1120672119891415","","","2020","2022-01-29 21:21:25","2022-01-29 21:22:18","","392–395","","2","30","","","","","","","","","","pt","","","","","","","Publisher: SAGE Publications Citation Key: caporossi2020b","","/home/filipejunqueira/Zotero/storage/J7WLH768/Caporossi et al. - 2020 - Amniotic membrane for retinal detachment due to pa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NKJG9YDV","journalArticle","2009","Armitage, W. J.; Tullo, A. B.; Ironside, J. W.","Risk of Creutzfeldt–Jakob disease transmission by ocular surgery and tissue transplantation","Eye","","","10.1038/eye.2008.381","","","2009","2022-01-29 21:21:25","2022-01-29 21:22:20","","1926–1930","","10","23","","","","","","","","","","fr","","","","","","","Publisher: Springer Science and Business Media LLC Citation Key: armitage2009","","/home/filipejunqueira/Zotero/storage/A8RY83JS/Armitage et al. - 2009 - Risk of Creutzfeldt–Jakob disease transmission by .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AT4BE98","journalArticle","2018","McDonald, Marguerite B.; Sheha, Hosam; Tighe, Sean; Janik, Susan; Frank Bowden, FACS, III, M.D.; Chokshi, Amit R.; Singer, Michael; Nanda, Seema; Qazi, Mujtaba; Dierker, Damon; Shupe, Adam T.; McMurren, Brittany J.","Treatment outcomes in the DRy Eye Amniotic Membrane (DREAM) study","Clinical Ophthalmology (Auckland, NZ)","","","10.2147/opth.s162203","","","2018-04","2022-01-29 21:21:25","2022-01-29 21:22:20","","677–681","","","12","","","","","","","","","","","","","","","","","Publisher: Dove Press Citation Key: mcdonald2018","","/home/filipejunqueira/Zotero/storage/TG85MA36/McDonald et al. - 2018 - Treatment outcomes in the DRy Eye Amniotic Membran.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4IIS626D","journalArticle","2021","Parmar, Dipali P; Bhole, Pradnya K; Patel, Parita N; Jadeja, Jagruti N","Amniotic membrane transplant in acute ocular surface burns in Western India: A tertiary eye care center study","Indian Journal of Ophthalmology","","","10.4103/ijo.ijo_2252_19","","","2021","2022-01-29 21:21:25","2022-01-29 21:22:18","","58","","1","69","","","","","","","","","","","","","","","","","Publisher: Wolters Kluwer–Medknow Publications Citation Key: parmar2021","","/home/filipejunqueira/Zotero/storage/A2H3XI56/Parmar et al. - 2021 - Amniotic membrane transplant in acute ocular surfa.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I4F7H9XK","journalArticle","2018","Murri, Michael S.; Moshirfar, Majid; Birdsong, Orry C.; Ronquillo, Yasmyne; Ding, Yanning; Hoopes, Phillip C.","Amniotic membrane extract and eye drops: a review of literature and clinical application","Clinical Ophthalmology","","","10.2147/opth.s165553","","","2018-06","2022-01-29 21:21:25","2022-01-29 21:22:18","","1105–1112","","","Volume 12","","","","","","","","","","","","","","","","","Publisher: Dove Press Citation Key: murri2018","","/home/filipejunqueira/Zotero/storage/DQMYZQ6D/Murri et al. - 2018 - Amniotic membrane extract and eye drops a review .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQDABWUH","journalArticle","2020","Lacorzana, J.","Amniotic membrane, clinical applications and tissue engineering. Review of its ophthalmic use","Archivos de la Sociedad Española de Oftalmología (English Edition)","","2173-5794","10.1016/j.oftale.2019.09.008","https://www.sciencedirect.com/science/article/pii/S2173579419301938","The use of amniotic membrane (AM) in ophthalmology has been increasing in recent years due to its multiple biological and tectonic properties, improvement in the process of obtaining, ease of use, and advancement in tissue engineering. The AM has become one of the main adjuvant treatments, in ophthalmic surgery as well as in other medical-surgical specialties. The development of tissue engineering has allowed it to be used, not only in its classic form, but also by the use of drops and other presentations. The different steps prior to its use (preparation and conservation), the different surgical techniques, and their main clinical applications are described throughout the article. Resumen La utilización de la membrana amniótica (MA) en la oftalmología está en alza en los últimos años debido a sus múltiples propiedades biológicas y tectónicas, la mejora en el proceso de obtención, la facilidad de uso y el avance en la ingeniería tisular. La MA se ha convertido en uno de los principales tratamientos coadyuvantes, tanto en la cirugía oftalmológica como en otras especialidades médico-quirúrgicas. El desarrollo de la ingeniería tisular ha permitido su utilización no solo en su forma clásica sino también mediante gotas y otras presentaciones. A lo largo del articulo hemos realizado un resumen de los distintos pasos previo a su uso (preparación y conservación), las distintas técnicas quirúrgicas y sus principales aplicaciones clínicas.","2020","2022-01-29 21:21:25","2022-01-29 21:47:32","","15-23","","1","95","","","","","","","","","","","","","","","","","Citation Key: lacorzana2020","","","","Amniotic membrane; Cornea; Córnea; Ingeniería tisular; Membrana amniótica; Ocular surface; Superficie ocular; Tissue engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
